"shotno","comment","ub","ucd","tbd","tcd","h2"
"49343","projekt stabilizace 10 dlouhy ctrl c","900","350","3000","600","15"
"49338","Projekt stabilizace 09 upraveni stabilizace ","900","350","3000","600","15"
"49332","projekt stabilizace 08 best shot se stabilizaci","900","350","3000","600","15"
"49327","Projekt stabilizace 07 vycisteno","900","350","3000","600","15"
"49319","Projekt Stabiliyace 06 definovany vac vyboj 02","900","350","3000","600","15"
"49318","Projekt Stabiliyace 05 vac vyboj 02","900","350","3000","600","0"
"49317","Projekt Stabilizace 04 best shot","900","350","3000","600","15"
"49315","Projekt Stabiliyace definovany vac vyboj","800","400","3000","500","10"
"49313","Projekt Stabilizace.02","800","400","3000","500","0"
"49312","Projekt Stabiliyace.setup01","800","400","3000","500","10"
"49307","radial stab opposite direction increased initial","800","400","3000","500","10"
"49306","opposite direction","800","400","3000","500","10"
"49305","radial stab, change direction","800","400","3000","500","10"
"49304","decreased initial radial stab","800","400","3000","500","10"
"49303","decreased t_cd, repeat 49297","800","400","3000","500","10"
"49302","adjusted initial value of radial stab","800","400","3000","1000","10"
"49301","repeated previous shot but now with radial stab","800","400","3000","1000","10"
"49300","increased t_cd kept radialStab","800","400","3000","1000","10"
"49299","vaccum shot w stab","800","400","3000","500","0"
